"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",2.2363,"1","8","1","1-2 Year","No","low","152",221,"0"
"Male",-16.7637,"1","17","0","< 1 Year","Yes","high","152",215,"0"
"Male",-15.7637,"1","8","1","< 1 Year","No","medium","26",120,"0"
"Male",12.2363,"1","28","0","1-2 Year","Yes","high","29",106,"0"
"Female",2.2363,"1","12","0","1-2 Year","Yes","medium","26",228,"0"
"Male",-12.7637,"1","29","0","1-2 Year","Yes","medium","124",139,"0"
"Female",26.2363,"1","10","0","1-2 Year","Yes","low","124",219,"0"
"Female",31.2363,"1","18","0","1-2 Year","Yes","low","124",174,"0"
"Female",-13.7637,"1","29","1","< 1 Year","No","high","152",137,"0"
"Male",0.2363,"1","28","0","1-2 Year","Yes","high","26",18,"0"
"Female",-18.7637,"1","29","1","1-2 Year","No","low","156",84,"0"
"Male",3.2363,"1","48","0","1-2 Year","Yes","low","124",227,"0"
"Male",24.2363,"1","36","1","1-2 Year","No","high","26",242,"0"
"Male",-17.7637,"1","46","1","< 1 Year","No","low","160",167,"0"
"Female",-12.7637,"1","8","1","< 1 Year","No","medium","152",134,"0"
"Male",14.2363,"1","47","0","1-2 Year","Yes","low","157",116,"0"
"Female",-13.7637,"1","41","0","< 1 Year","Yes","high","152",268,"0"
"Female",-9.7637,"1","8","0","< 1 Year","Yes","medium","124",140,"1"
"Female",-4.7637,"1","47","0","1-2 Year","Yes","medium","152",208,"0"
"Male",-14.7637,"1","46","1","< 1 Year","No","high","152",29,"0"
"Female",12.2363,"1","8","0","1-2 Year","Yes","low","26",147,"0"
"Female",3.2363,"1","46","0","1-2 Year","Yes","medium","26",294,"0"
"Female",37.2363,"1","15","1","1-2 Year","No","low","26",243,"0"
"Male",-10.7637,"1","47","1","< 1 Year","No","medium","152",162,"0"
"Female",-16.7637,"1","9","1","< 1 Year","No","medium","152",278,"0"
"Male",-16.7637,"1","4","1","< 1 Year","No","medium","152",100,"0"
"Male",-17.7637,"1","2","0","< 1 Year","Yes","medium","160",241,"0"
"Female",-18.7637,"1","17","0","< 1 Year","Yes","high","160",29,"0"
"Female",-15.7637,"1","35","0","< 1 Year","Yes","high","152",163,"0"
"Male",30.2363,"1","28","0","1-2 Year","Yes","high","26",171,"0"
"Male",-13.7637,"1","40","1","< 1 Year","No","medium","152",269,"0"
"Male",-12.7637,"1","8","0","< 1 Year","Yes","high","152",250,"0"
"Female",-17.7637,"1","3","1","< 1 Year","No","low","152",172,"0"
"Male",-12.7637,"1","41","0","< 1 Year","Yes","medium","163",93,"0"
"Female",-17.7637,"1","36","1","< 1 Year","No","medium","152",137,"0"
"Female",-11.7637,"1","30","1","< 1 Year","No","medium","152",200,"0"
"Male",-14.7637,"1","27","1","< 1 Year","No","low","151",107,"0"
"Female",-14.7637,"1","6","0","< 1 Year","Yes","medium","152",87,"0"
"Male",7.2363,"1","7","1","1-2 Year","No","low","160",195,"0"
"Female",-10.7637,"1","21","1","< 1 Year","No","medium","152",120,"0"
"Male",-0.7637,"1","28","0","1-2 Year","No","high","124",116,"0"
"Female",-14.7637,"1","50","1","< 1 Year","No","medium","152",134,"0"
"Male",-0.7637,"1","28","0","1-2 Year","Yes","low","124",167,"0"
"Male",-15.7637,"1","37","1","< 1 Year","No","high","152",155,"0"
"Female",-0.7637,"1","28","0","1-2 Year","Yes","high","26",299,"1"
"Male",41.2363,"1","28","1","1-2 Year","No","high","26",185,"0"
"Male",-2.7637,"1","28","0","1-2 Year","Yes","low","124",189,"1"
"Female",5.2363,"1","50","1","1-2 Year","No","medium","8",77,"0"
"Female",-8.7637,"1","33","1","< 1 Year","No","low","152",123,"0"
"Male",-15.7637,"1","37","0","< 1 Year","No","medium","151",183,"0"
"Male",-10.7637,"1","0","1","< 1 Year","No","low","152",200,"0"
"Female",-2.7637,"1","28","0","1-2 Year","Yes","high","122",256,"0"
"Male",-8.7637,"1","28","0","1-2 Year","Yes","low","124",276,"0"
"Female",7.2363,"1","28","0","1-2 Year","Yes","medium","122",166,"1"
"Male",41.2363,"1","28","0","1-2 Year","Yes","high","124",233,"0"
"Female",7.2363,"1","28","0","1-2 Year","Yes","low","26",49,"0"
"Male",-5.7637,"1","11","0","< 1 Year","No","low","152",213,"0"
"Male",-15.7637,"1","36","0","< 1 Year","Yes","low","152",255,"0"
"Female",-12.7637,"1","21","0","< 1 Year","Yes","high","152",102,"0"
"Male",-12.7637,"1","41","0","< 1 Year","Yes","medium","152",111,"0"
"Male",11.2363,"1","9","1","1-2 Year","No","medium","26",175,"0"
"Male",-4.7637,"1","13","1","1-2 Year","No","low","152",83,"0"
"Female",3.2363,"1","46","0","1-2 Year","Yes","medium","55",20,"0"
"Male",-12.7637,"1","37","1","< 1 Year","No","medium","152",115,"0"
"Female",-14.7637,"1","30","0","1-2 Year","Yes","medium","124",121,"0"
"Male",-7.7637,"1","28","0","< 1 Year","Yes","high","152",288,"0"
"Female",-17.7637,"1","28","1","1-2 Year","No","medium","154",85,"0"
"Male",15.2363,"1","46","1","1-2 Year","No","medium","26",95,"0"
"Female",8.2363,"1","35","1","1-2 Year","No","low","124",31,"0"
"Male",27.2363,"1","28","0","> 2 Years","Yes","high","147",172,"0"
"Male",-16.7637,"1","17","0","< 1 Year","No","low","152",227,"0"
"Male",-11.7637,"1","43","0","< 1 Year","Yes","low","152",25,"0"
"Male",24.2363,"1","28","0","> 2 Years","Yes","low","26",244,"0"
"Male",41.2363,"1","28","0","1-2 Year","No","medium","26",26,"0"
"Male",20.2363,"1","29","0","1-2 Year","Yes","high","26",75,"1"
"Male",-13.7637,"1","6","1","< 1 Year","No","medium","152",248,"0"
"Female",-3.7637,"1","28","0","1-2 Year","Yes","medium","124",100,"0"
"Female",36.2363,"1","43","0","1-2 Year","Yes","medium","124",119,"0"
"Male",-15.7637,"1","29","1","< 1 Year","No","low","152",272,"0"
"Female",22.2363,"1","8","0","1-2 Year","Yes","low","26",181,"0"
"Male",19.2363,"1","11","0","1-2 Year","Yes","medium","124",275,"0"
"Male",14.2363,"1","48","1","1-2 Year","No","low","26",230,"0"
"Female",-10.7637,"1","18","1","< 1 Year","No","medium","152",235,"0"
"Male",-16.7637,"1","28","0","< 1 Year","Yes","high","152",225,"0"
"Male",-9.7637,"1","38","1","< 1 Year","No","medium","152",233,"0"
"Female",-14.7637,"1","29","1","< 1 Year","No","medium","152",207,"0"
"Female",37.2363,"1","28","1","1-2 Year","No","low","152",171,"0"
"Female",-15.7637,"1","32","1","< 1 Year","No","medium","152",134,"0"
"Female",-13.7637,"1","15","1","< 1 Year","No","medium","152",247,"0"
"Male",29.2363,"1","3","0","1-2 Year","Yes","medium","30",159,"0"
"Female",-10.7637,"1","41","1","< 1 Year","No","low","152",190,"0"
"Male",26.2363,"1","28","0","1-2 Year","Yes","high","13",258,"0"
"Female",14.2363,"1","13","1","1-2 Year","No","high","129",37,"0"
"Male",4.2363,"1","29","0","1-2 Year","Yes","medium","124",181,"0"
"Female",-6.7637,"1","8","0","< 1 Year","Yes","high","152",116,"0"
"Female",-13.7637,"1","47","0","< 1 Year","No","medium","152",116,"0"
"Female",-7.7637,"1","15","0","< 1 Year","No","medium","152",272,"0"
"Female",-1.7637,"1","28","0","1-2 Year","Yes","high","42",255,"0"
"Female",-14.7637,"1","28","0","< 1 Year","Yes","high","152",82,"1"
"Female",7.2363,"1","28","0","1-2 Year","Yes","high","26",85,"1"
"Female",-1.7637,"1","41","0","1-2 Year","Yes","low","154",229,"0"
"Female",-11.7637,"1","8","0","< 1 Year","No","medium","152",189,"0"
"Female",-11.7637,"1","10","1","< 1 Year","No","medium","152",130,"0"
"Female",-5.7637,"1","27","0","1-2 Year","Yes","medium","154",158,"0"
"Male",-13.7637,"1","21","1","< 1 Year","No","medium","152",68,"0"
"Male",26.2363,"1","6","1","1-2 Year","No","medium","26",278,"0"
"Male",5.2363,"1","46","1","1-2 Year","No","low","124",128,"0"
"Female",4.2363,"1","28","0","1-2 Year","Yes","medium","26",271,"1"
"Male",15.2363,"1","46","0","1-2 Year","Yes","medium","155",225,"0"
"Female",-15.7637,"1","14","1","< 1 Year","No","medium","152",136,"0"
"Male",-16.7637,"1","33","1","< 1 Year","No","low","152",240,"0"
"Male",-1.7637,"1","41","1","1-2 Year","No","high","124",81,"0"
"Male",-13.7637,"1","36","1","< 1 Year","No","medium","152",48,"0"
"Male",-0.7637,"1","28","1","1-2 Year","No","medium","29",252,"0"
"Female",-16.7637,"1","47","0","< 1 Year","Yes","medium","152",152,"0"
"Female",-13.7637,"1","50","1","< 1 Year","No","high","152",158,"0"
"Male",8.2363,"1","28","0","1-2 Year","Yes","high","26",284,"0"
"Male",-9.7637,"1","21","0","< 1 Year","Yes","medium","156",169,"1"
"Male",-14.7637,"1","8","0","< 1 Year","Yes","high","151",69,"0"
"Female",-13.7637,"1","26","1","< 1 Year","No","low","160",275,"0"
"Male",4.2363,"1","41","0","1-2 Year","Yes","high","124",285,"0"
"Male",-8.7637,"1","30","1","< 1 Year","No","medium","152",65,"0"
"Male",0.2363,"1","8","1","1-2 Year","No","low","26",192,"0"
"Female",-11.7637,"1","14","1","< 1 Year","No","low","152",245,"0"
"Male",2.2363,"1","41","0","1-2 Year","No","medium","12",79,"0"
"Male",-2.7637,"1","7","0","1-2 Year","Yes","low","26",151,"0"
"Male",-15.7637,"1","17","1","< 1 Year","No","medium","152",149,"0"
"Female",-16.7637,"1","28","0","< 1 Year","Yes","high","124",112,"1"
"Female",22.2363,"1","28","0","1-2 Year","Yes","medium","26",200,"0"
"Female",-14.7637,"1","8","0","< 1 Year","Yes","medium","160",82,"0"
"Female",-17.7637,"1","2","0","< 1 Year","Yes","medium","160",95,"0"
"Female",-9.7637,"1","41","0","1-2 Year","Yes","low","157",201,"0"
"Female",-0.7637,"1","7","1","1-2 Year","No","high","124",76,"0"
"Male",-13.7637,"1","13","1","< 1 Year","No","medium","152",194,"0"
"Female",40.2363,"1","31","0","> 2 Years","Yes","low","26",173,"0"
"Male",-13.7637,"1","29","1","< 1 Year","No","medium","152",278,"0"
"Female",-0.7637,"1","28","1","1-2 Year","No","high","26",49,"0"
"Male",24.2363,"1","11","0","> 2 Years","Yes","medium","124",92,"0"
"Female",-14.7637,"1","40","1","< 1 Year","No","medium","152",215,"0"
"Female",-4.7637,"1","41","1","1-2 Year","No","medium","152",215,"0"
"Female",-17.7637,"1","16","0","< 1 Year","Yes","medium","152",27,"0"
"Female",-15.7637,"1","30","0","< 1 Year","Yes","medium","152",23,"0"
"Female",-7.7637,"1","30","1","< 1 Year","No","low","152",122,"0"
"Male",-6.7637,"1","20","0","< 1 Year","Yes","low","26",33,"0"
"Male",10.2363,"1","46","1","1-2 Year","Yes","medium","124",245,"0"
"Male",19.2363,"1","28","0","1-2 Year","Yes","high","26",91,"1"
"Male",4.2363,"1","14","0","1-2 Year","Yes","medium","26",109,"0"
"Female",-16.7637,"1","30","1","< 1 Year","No","medium","152",298,"0"
"Female",-16.7637,"1","10","0","< 1 Year","No","medium","152",236,"0"
"Female",-1.7637,"1","28","0","1-2 Year","Yes","high","124",209,"0"
"Male",2.2363,"1","3","0","1-2 Year","Yes","low","30",293,"0"
"Female",-0.7637,"1","37","0","1-2 Year","Yes","medium","124",208,"1"
"Female",17.2363,"1","28","0","1-2 Year","Yes","low","13",256,"0"
"Male",-1.7637,"1","14","0","1-2 Year","Yes","low","156",126,"0"
"Male",-17.7637,"1","7","1","< 1 Year","No","medium","160",13,"0"
"Male",3.2363,"1","28","0","1-2 Year","Yes","medium","23",254,"0"
"Male",1.2363,"1","33","0","1-2 Year","Yes","medium","152",164,"0"
"Male",-13.7637,"1","8","0","< 1 Year","Yes","high","152",299,"0"
"Male",7.2363,"1","3","0","1-2 Year","Yes","low","26",105,"0"
"Female",-14.7637,"1","14","0","< 1 Year","Yes","medium","152",251,"1"
"Male",16.2363,"1","13","1","1-2 Year","No","medium","26",190,"0"
"Female",-16.7637,"1","3","1","< 1 Year","No","low","152",95,"0"
"Male",29.2363,"1","11","1","1-2 Year","No","medium","152",75,"0"
"Male",0.2363,"1","8","0","> 2 Years","Yes","low","124",56,"0"
"Male",3.2363,"1","29","0","1-2 Year","No","medium","124",201,"0"
"Male",-14.7637,"1","11","1","< 1 Year","No","medium","152",246,"0"
"Male",7.2363,"1","8","1","1-2 Year","No","low","124",287,"0"
"Male",16.2363,"1","19","1","1-2 Year","Yes","medium","8",285,"0"
"Female",21.2363,"1","30","1","1-2 Year","No","low","152",91,"0"
"Male",-10.7637,"1","46","1","< 1 Year","No","low","26",34,"0"
"Female",6.2363,"1","28","0","1-2 Year","Yes","high","26",115,"0"
"Male",-11.7637,"1","11","1","< 1 Year","No","medium","152",53,"0"
"Female",16.2363,"1","11","1","1-2 Year","No","low","26",60,"0"
"Female",-17.7637,"1","15","1","< 1 Year","No","high","152",113,"0"
"Male",32.2363,"1","46","1","1-2 Year","No","high","11",253,"0"
"Female",-12.7637,"1","35","1","< 1 Year","No","medium","152",174,"0"
"Female",-16.7637,"1","8","0","< 1 Year","No","high","152",274,"0"
"Male",-9.7637,"1","33","1","< 1 Year","No","high","152",226,"0"
"Female",-14.7637,"1","14","1","< 1 Year","No","medium","152",199,"0"
"Female",-4.7637,"1","28","1","1-2 Year","No","high","26",280,"0"
"Male",-3.7637,"1","8","0","1-2 Year","Yes","medium","124",177,"1"
"Male",0.2363,"1","17","0","1-2 Year","No","medium","154",284,"0"
"Male",4.2363,"1","46","0","1-2 Year","Yes","low","124",44,"1"
"Female",41.2363,"1","28","0","1-2 Year","Yes","high","124",247,"0"
"Male",18.2363,"1","41","0","1-2 Year","Yes","high","124",82,"0"
"Male",31.2363,"1","8","0","1-2 Year","Yes","low","124",249,"0"
"Male",-14.7637,"1","10","1","< 1 Year","No","medium","152",275,"0"
"Male",-16.7637,"1","29","1","< 1 Year","No","high","152",100,"0"
"Male",9.2363,"1","46","0","1-2 Year","Yes","medium","91",281,"1"
"Male",15.2363,"0","28","0","1-2 Year","Yes","high","124",63,"0"
"Male",6.2363,"1","46","0","1-2 Year","Yes","high","124",276,"0"
"Male",26.2363,"1","28","0","1-2 Year","Yes","medium","26",253,"0"
"Female",-9.7637,"1","28","1","< 1 Year","No","high","152",88,"0"
"Male",-14.7637,"1","14","1","< 1 Year","No","low","152",13,"0"
"Female",23.2363,"1","38","0","1-2 Year","Yes","low","156",100,"0"
"Female",-12.7637,"1","3","1","< 1 Year","No","high","152",216,"0"
"Male",-16.7637,"1","28","1","1-2 Year","No","medium","154",235,"0"
"Female",-17.7637,"1","8","0","< 1 Year","Yes","high","160",229,"0"
"Male",38.2363,"1","28","0","1-2 Year","Yes","high","26",231,"0"
"Male",34.2363,"1","28","0","1-2 Year","Yes","high","13",17,"1"
"Male",-15.7637,"1","37","0","< 1 Year","Yes","low","152",279,"1"
"Male",-15.7637,"1","12","1","< 1 Year","No","medium","152",256,"0"
"Male",28.2363,"1","8","0","1-2 Year","Yes","low","26",182,"0"
"Male",18.2363,"1","28","0","1-2 Year","Yes","high","26",105,"0"
"Male",22.2363,"1","41","0","1-2 Year","Yes","medium","124",146,"0"
"Female",-8.7637,"1","23","1","< 1 Year","No","low","152",190,"0"
"Male",-8.7637,"1","6","1","< 1 Year","No","medium","152",215,"0"
"Female",-14.7637,"1","15","1","< 1 Year","No","medium","152",174,"0"
"Male",4.2363,"1","46","0","1-2 Year","No","medium","124",194,"0"
"Male",-11.7637,"1","21","1","< 1 Year","No","medium","152",142,"0"
"Male",-17.7637,"1","25","1","< 1 Year","No","medium","160",287,"0"
"Female",19.2363,"1","50","0","1-2 Year","Yes","medium","8",215,"0"
"Male",-13.7637,"1","43","0","< 1 Year","Yes","low","152",274,"0"
"Female",-3.7637,"1","28","0","1-2 Year","Yes","medium","26",135,"0"
"Female",9.2363,"1","8","0","1-2 Year","No","low","124",292,"0"
"Male",8.2363,"1","8","0","1-2 Year","No","low","124",121,"0"
"Male",33.2363,"1","28","1","1-2 Year","No","medium","30",209,"0"
"Female",-6.7637,"1","18","1","< 1 Year","No","low","151",193,"0"
"Male",-14.7637,"1","13","1","< 1 Year","No","low","160",70,"0"
"Male",10.2363,"1","38","1","1-2 Year","No","low","152",61,"0"
"Male",-14.7637,"1","10","1","< 1 Year","No","low","152",253,"0"
"Male",6.2363,"1","8","0","1-2 Year","Yes","high","124",224,"0"
"Female",-18.7637,"1","22","0","< 1 Year","Yes","low","160",130,"0"
"Female",-12.7637,"1","10","1","< 1 Year","No","low","152",244,"0"
"Female",-9.7637,"1","28","0","< 1 Year","Yes","medium","124",92,"1"
"Male",31.2363,"1","39","0","1-2 Year","Yes","low","124",208,"0"
"Female",-15.7637,"1","47","1","< 1 Year","No","medium","152",35,"0"
"Male",5.2363,"1","8","1","1-2 Year","Yes","medium","26",268,"0"
"Male",12.2363,"1","28","1","1-2 Year","No","high","124",41,"0"
"Female",-12.7637,"1","8","1","< 1 Year","No","medium","152",285,"0"
"Female",-14.7637,"1","2","0","< 1 Year","No","medium","152",185,"0"
"Male",35.2363,"1","28","1","1-2 Year","No","high","122",25,"0"
"Male",-8.7637,"1","28","0","< 1 Year","Yes","high","122",166,"0"
"Male",-18.7637,"1","47","0","< 1 Year","Yes","medium","160",299,"1"
"Male",1.2363,"1","26","0","1-2 Year","Yes","medium","26",281,"0"
"Male",-13.7637,"1","30","1","< 1 Year","No","medium","152",201,"0"
"Female",-11.7637,"1","32","1","< 1 Year","No","low","160",251,"0"
"Female",-13.7637,"1","46","0","< 1 Year","Yes","medium","152",127,"0"
"Female",-14.7637,"1","40","0","< 1 Year","Yes","medium","152",222,"0"
"Female",-5.7637,"1","31","1","< 1 Year","No","low","152",252,"0"
"Female",-16.7637,"1","14","1","< 1 Year","No","medium","152",162,"0"
"Male",-6.7637,"1","3","0","< 1 Year","Yes","low","122",294,"1"
"Male",-8.7637,"1","2","0","< 1 Year","Yes","medium","152",40,"0"
"Male",28.2363,"1","28","0","1-2 Year","Yes","medium","26",168,"0"
"Female",-18.7637,"1","13","0","< 1 Year","Yes","medium","160",99,"0"
"Male",10.2363,"1","28","1","1-2 Year","Yes","high","124",145,"0"
"Female",2.2363,"1","36","0","1-2 Year","Yes","low","156",66,"0"
"Male",14.2363,"1","28","1","1-2 Year","No","medium","26",80,"0"
"Male",-6.7637,"1","28","0","< 1 Year","Yes","high","156",190,"0"
"Female",-16.7637,"1","10","0","< 1 Year","Yes","low","152",58,"0"
"Female",-14.7637,"1","26","1","< 1 Year","No","medium","152",187,"0"
"Female",-17.7637,"1","26","0","< 1 Year","Yes","low","152",247,"0"
"Female",1.2363,"1","28","0","1-2 Year","Yes","medium","124",61,"0"
"Male",5.2363,"1","30","1","1-2 Year","No","low","152",213,"0"
"Female",-3.7637,"1","36","0","1-2 Year","Yes","medium","124",118,"1"
"Female",-17.7637,"1","25","1","< 1 Year","No","high","152",20,"0"
"Female",-0.7637,"1","28","1","1-2 Year","No","low","26",107,"0"
"Female",-13.7637,"1","18","1","< 1 Year","No","high","152",201,"0"
"Female",7.2363,"1","28","0","1-2 Year","Yes","medium","26",171,"1"
"Male",24.2363,"1","28","0","1-2 Year","Yes","medium","124",33,"0"
"Female",20.2363,"1","28","0","1-2 Year","No","high","124",181,"0"
"Male",25.2363,"1","26","1","1-2 Year","No","low","22",99,"0"
"Female",18.2363,"1","8","1","1-2 Year","No","low","122",221,"0"
"Male",33.2363,"1","28","0","1-2 Year","Yes","medium","23",229,"1"
"Male",-14.7637,"1","29","0","< 1 Year","Yes","high","152",128,"0"
"Male",-15.7637,"1","41","0","< 1 Year","Yes","medium","152",10,"0"
"Male",29.2363,"1","1","0","1-2 Year","Yes","low","124",34,"0"
"Female",-10.7637,"1","46","0","< 1 Year","Yes","low","156",198,"0"
"Male",-12.7637,"1","30","1","< 1 Year","No","low","152",206,"0"
"Female",-13.7637,"1","26","0","< 1 Year","Yes","medium","152",249,"0"
"Female",11.2363,"1","28","0","1-2 Year","Yes","medium","26",23,"0"
"Female",-15.7637,"1","11","1","< 1 Year","No","medium","152",144,"0"
"Female",34.2363,"1","28","1","1-2 Year","No","high","26",234,"0"
"Female",-13.7637,"1","41","0","< 1 Year","Yes","medium","152",52,"0"
"Female",8.2363,"1","28","0","1-2 Year","Yes","medium","124",85,"0"
"Male",21.2363,"1","11","0","1-2 Year","No","low","120",264,"0"
"Female",2.2363,"1","28","0","1-2 Year","Yes","medium","26",270,"0"
"Female",-18.7637,"1","30","1","< 1 Year","No","medium","160",180,"0"
"Female",-13.7637,"1","49","0","< 1 Year","Yes","low","152",193,"0"
"Male",-17.7637,"1","30","1","< 1 Year","No","medium","152",153,"0"
"Male",-11.7637,"1","28","0","< 1 Year","Yes","high","152",78,"0"
"Female",-14.7637,"1","46","1","< 1 Year","No","medium","152",46,"0"
"Male",-15.7637,"1","8","1","< 1 Year","No","high","152",236,"0"
"Female",-3.7637,"1","36","1","1-2 Year","Yes","medium","26",222,"0"
"Male",-15.7637,"1","8","1","< 1 Year","No","medium","152",198,"0"
"Female",-15.7637,"1","8","1","< 1 Year","No","high","152",248,"0"
"Female",-9.7637,"1","37","1","< 1 Year","No","medium","152",246,"0"
"Male",11.2363,"1","28","1","1-2 Year","No","low","26",179,"0"
"Male",6.2363,"1","28","0","1-2 Year","Yes","high","26",174,"0"
"Female",23.2363,"1","28","0","1-2 Year","Yes","high","26",252,"1"
"Female",1.2363,"1","24","1","1-2 Year","No","low","160",204,"0"
"Male",-17.7637,"1","46","0","< 1 Year","Yes","medium","160",203,"0"
"Male",9.2363,"1","8","0","1-2 Year","Yes","medium","26",141,"0"
"Female",19.2363,"1","28","0","> 2 Years","Yes","high","122",283,"0"
"Female",8.2363,"1","35","0","> 2 Years","Yes","high","26",201,"1"
"Male",-9.7637,"1","30","1","< 1 Year","No","high","152",27,"0"
"Female",27.2363,"1","28","0","> 2 Years","Yes","medium","163",139,"0"
"Male",-13.7637,"1","26","1","< 1 Year","No","medium","152",129,"0"
"Female",21.2363,"1","28","0","> 2 Years","Yes","high","124",259,"0"
"Male",24.2363,"1","41","0","1-2 Year","Yes","high","26",99,"0"
"Female",21.2363,"1","3","0","1-2 Year","Yes","low","26",208,"0"
"Female",-13.7637,"1","11","1","< 1 Year","No","medium","152",204,"0"
"Male",-10.7637,"1","29","1","< 1 Year","No","medium","152",61,"0"
"Male",-17.7637,"1","26","1","< 1 Year","No","medium","160",200,"0"
"Female",37.2363,"1","39","0","1-2 Year","Yes","low","157",209,"1"
"Male",-7.7637,"1","28","0","< 1 Year","Yes","medium","26",197,"0"
"Male",25.2363,"1","28","1","1-2 Year","No","high","26",65,"0"
"Male",-14.7637,"1","30","1","< 1 Year","No","medium","152",11,"0"
"Male",-1.7637,"1","50","1","1-2 Year","No","low","124",199,"0"
"Female",7.2363,"1","36","1","1-2 Year","No","medium","26",240,"0"
"Male",-12.7637,"1","15","1","< 1 Year","No","low","152",228,"0"
"Male",-16.7637,"1","8","0","< 1 Year","Yes","high","152",271,"0"
"Male",-9.7637,"1","49","0","< 1 Year","No","medium","152",280,"0"
"Male",-12.7637,"1","34","0","< 1 Year","No","medium","152",14,"0"
"Female",-2.7637,"1","35","1","1-2 Year","No","medium","152",267,"0"
"Male",24.2363,"1","49","0","> 2 Years","Yes","medium","26",94,"0"
"Male",14.2363,"1","28","0","1-2 Year","Yes","high","154",228,"1"
"Male",27.2363,"1","8","1","1-2 Year","No","high","26",239,"0"
"Male",10.2363,"1","36","0","1-2 Year","Yes","medium","124",30,"0"
"Female",8.2363,"1","28","0","1-2 Year","Yes","medium","29",152,"0"
"Male",2.2363,"1","41","0","1-2 Year","Yes","medium","154",223,"0"
"Female",2.2363,"1","28","0","1-2 Year","Yes","high","52",116,"0"
"Female",-0.7637,"1","28","0","1-2 Year","Yes","medium","124",85,"1"
"Female",-16.7637,"1","30","1","< 1 Year","No","medium","152",236,"0"
"Female",-11.7637,"1","21","1","< 1 Year","No","medium","152",267,"0"
"Male",-14.7637,"1","8","0","< 1 Year","No","medium","152",290,"0"
"Female",-15.7637,"1","33","1","< 1 Year","No","high","152",16,"0"
"Male",-16.7637,"1","23","1","< 1 Year","No","medium","152",53,"0"
"Male",5.2363,"1","41","1","1-2 Year","No","medium","124",149,"0"
"Female",27.2363,"1","33","1","1-2 Year","No","high","124",34,"0"
"Male",9.2363,"1","28","0","1-2 Year","Yes","medium","30",274,"0"
"Male",-16.7637,"1","35","0","< 1 Year","Yes","medium","152",201,"0"
"Male",-11.7637,"1","36","1","< 1 Year","No","high","152",124,"0"
"Female",9.2363,"1","12","0","1-2 Year","Yes","medium","124",230,"0"
"Male",14.2363,"1","46","0","1-2 Year","Yes","medium","26",195,"0"
"Female",-12.7637,"1","2","0","< 1 Year","Yes","medium","152",87,"0"
"Male",-15.7637,"1","41","1","< 1 Year","No","low","151",11,"0"
"Male",-17.7637,"1","36","1","< 1 Year","No","medium","160",93,"0"
"Female",-5.7637,"1","33","1","< 1 Year","No","low","160",122,"0"
"Male",-17.7637,"1","8","0","< 1 Year","Yes","high","160",205,"0"
"Female",-17.7637,"1","10","0","< 1 Year","Yes","medium","160",126,"0"
"Male",-13.7637,"1","41","1","< 1 Year","No","medium","160",44,"0"
"Female",-17.7637,"1","8","1","< 1 Year","No","medium","160",94,"0"
